id,Question,Model Answer,Average_Mark,Answer
1,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3,Is an immoral behavior by electronic means aimed at material revenues and causes damage to the victim
2,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",5,"Each immoral behavior is made by electronic devices resulting in the criminal access to materials or moral benefits with the collection of the victim an interview loss, its piracy target for theft or perpetration of information"
3,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",2.625,Is illegal behavior with electronic devices for material or moral damage to the victim
4,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4,Is illegal behavior using electronic means resulting in criminal access to material or moral objectives often that the goal of these crimes is to pirate any theft and destruction of information
5,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.5,"Each immoral behavior is used by electronic means (phone, computer ..), the perpetrator is obtained to achieve its personal objectives while the victim is bearing and the user is the punishment, such as theft of information, for example"
6,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.75,"Is illegal behavior through electronic devices, for material or moral purposes often to destroy or steal information, for example: monument, fraud, electronic infringement, spy and privacy violation"
7,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4.5,"Is illegal behavior using electronic devices, the offender is loaded on material and moral benefits, the victim bears loss against that goal of crime destroy or stolen information."
8,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",5,The electronic devices are produced by the criminal access to material and moral benefits with the victim load an interview loss. The criminal goal is often piracy for theft and destruction of information.
9,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",5,Each illegal behavior is using electronic devices resulting in criminal access to material and significant benefits with the victim load losses and aim is piracy for theft and destruction of information
10,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",5,"Is illegal behavior by using electronic devices (telephone, internet, computer) target to obtain material or moral utility against the efficiency of victim losses and is in order to obtain and destroy information. Electronic offenses are damaged by millions of companies and companies and most of the burglary on banks are criminals and programmers."
11,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.625,"Each illegal behavior is used using electronic devices, in which the criminal is obtained on material and moral benefits with the loss of victim loss."
12,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4.25,"Is illegal behavior using electronic devices (telephone, computer) is hacking system and holds affected material and significant loss."
